,high_price,low_price,open_price,total_traded_quantity,turnover,label
0,"1,775.25","1,725.10","1,767.85","4,33,169","7,535.79","1,734.60"
1,"1,809.00","1,747.00","1,800.00","21,31,367","37,946.44","1,759.50"
2,"1,776.90","1,725.05","1,761.00","10,21,434","17,882.84","1,747.40"
3,"1,769.65","1,698.80","1,701.00","7,87,831","13,630.79","1,755.10"
4,"1,721.35","1,690.00","1,707.25","4,36,829","7,453.92","1,703.55"
5,"1,710.00","1,635.00","1,700.00","7,15,522","12,085.56","1,705.95"
6,"1,656.90","1,626.20","1,632.90","3,40,155","5,604.26","1,650.80"
7,"1,635.00","1,615.25","1,615.25","58,983",959.11,"1,628.10"
8,"1,627.85","1,604.00","1,610.80","6,37,713","10,318.84","1,609.35"
9,"1,621.45","1,588.00","1,597.65","2,82,561","4,550.90","1,611.65"
10,"1,599.00","1,572.05","1,581.20","3,39,033","5,363.73","1,594.45"
11,"1,605.65","1,570.00","1,591.60","1,93,433","3,062.68","1,580.65"
12,"1,590.70","1,566.95","1,569.90","4,41,205","6,973.95","1,587.60"
13,"1,579.00","1,555.45","1,573.25","2,71,195","4,247.62","1,568.05"
14,"1,611.90","1,572.10","1,591.65","4,73,658","7,530.45","1,579.95"
15,"1,591.90","1,541.25","1,573.00","6,93,964","10,878.89","1,580.05"
16,"1,643.00","1,570.10","1,641.00","3,57,014","5,679.18","1,578.55"
17,"1,655.95","1,626.40","1,653.90","1,71,707","2,815.27","1,636.70"
18,"1,674.15","1,646.00","1,660.00","5,75,938","9,554.19","1,651.00"
19,"1,661.00","1,638.05","1,647.65","2,46,110","4,069.96","1,657.70"
20,"1,656.60","1,630.30","1,644.80","2,00,634","3,305.68","1,652.65"
21,"1,657.00","1,633.00","1,644.00","1,88,158","3,097.98","1,641.60"
22,"1,647.45","1,601.00","1,610.00","3,37,111","5,483.30","1,638.60"
23,"1,615.00","1,586.60","1,595.00","1,78,088","2,854.97","1,612.10"
24,"1,619.00","1,584.50","1,613.00","3,08,239","4,919.75","1,597.90"
25,"1,641.85","1,608.05","1,617.00","4,93,750","8,045.26","1,615.80"
26,"1,624.50","1,605.00","1,613.10","2,08,917","3,374.92","1,608.50"
27,"1,625.00","1,600.10","1,617.00","1,85,520","2,987.39","1,618.75"
28,"1,624.00","1,604.90","1,620.00","1,36,028","2,199.45","1,619.05"
29,"1,620.00","1,600.00","1,606.00","2,43,646","3,925.65","1,612.15"
30,"1,654.65","1,597.20","1,648.80","2,12,244","3,433.38","1,607.00"
31,"1,658.00","1,632.10","1,641.00","2,69,501","4,431.52","1,645.70"
32,"1,671.95","1,639.00","1,662.25","1,85,523","3,070.49","1,643.00"
33,"1,664.30","1,631.65","1,632.20","4,15,312","6,860.54","1,658.10"
34,"1,657.00","1,628.55","1,636.00","3,72,747","6,115.66","1,637.05"
35,"1,641.75","1,595.05","1,623.80","3,00,631","4,894.53","1,635.15"
36,"1,654.00","1,617.45","1,633.10","2,77,804","4,543.55","1,624.40"
37,"1,638.90","1,605.25","1,615.00","1,92,687","3,135.73","1,632.35"
38,"1,633.00","1,571.40","1,580.00","5,47,632","8,817.30","1,619.70"
39,"1,639.90","1,575.00","1,627.20","3,83,499","6,129.22","1,582.95"
40,"1,647.00","1,603.55","1,635.00","3,39,377","5,526.48","1,627.50"
41,"1,692.95","1,616.30","1,692.95","3,09,082","5,061.39","1,626.85"
42,"1,704.50","1,666.00","1,676.00","2,40,074","4,044.68","1,675.40"
43,"1,690.70","1,664.50","1,683.90","1,89,887","3,188.74","1,670.40"
44,"1,729.50","1,690.10","1,729.50","3,51,398","5,991.74","1,694.05"
45,"1,740.00","1,683.10","1,683.10","6,46,805","11,172.56","1,729.65"
46,"1,710.00","1,677.20","1,682.20","2,18,344","3,696.43","1,681.90"
47,"1,699.95","1,656.20","1,691.90","2,79,447","4,664.80","1,679.85"
48,"1,722.95","1,681.00","1,698.00","2,52,482","4,295.92","1,689.30"
49,"1,711.30","1,673.60","1,705.00","3,20,293","5,412.03","1,690.35"
50,"1,728.85","1,696.50","1,701.00","5,63,503","9,627.56","1,701.20"
51,"1,756.70","1,685.10","1,685.10","14,32,166","24,788.80","1,711.25"
52,"1,669.95","1,611.30","1,624.05","5,86,030","9,621.45","1,660.15"
53,"1,632.00","1,603.95","1,613.90","3,73,695","6,030.97","1,624.05"
54,"1,620.00","1,586.25","1,586.25","2,67,323","4,304.41","1,608.55"
55,"1,625.00","1,570.00","1,625.00","3,57,316","5,669.96","1,593.05"
56,"1,635.00","1,606.05","1,626.65","3,73,117","6,053.16","1,626.55"
