,Unnamed: 0,Unnamed: 0.1,date,stock_ticker,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Tax,Net Profit,Earnings Per Share,Equity,stock_price,nifty_price,stock_price_90d,nifty_price_90d,stock_pc_change,nifty_pc_change,status,Industry
0,0,0,2017-07-01,RELIANCE,704340.0,19180.0,723520.0,588450.0,135070.0,127190.0,7880.0,119310.0,23650.0,81960.0,25.21,32520.0,1381.05,9615.0,,,,,,ENERGY
5,5,5,2017-07-01,TCS,234760.0,24140.0,258900.0,171900.0,87000.0,86790.0,210.0,86580.0,16130.0,66700.0,34.11,1910.0,2373.6,9615.0,,,,,,IT
10,10,10,2017-07-01,HDFCBANK,186687.0,35166.6,221854.0,53674.6,75199.4,0.0,92979.8,-92979.8,20673.4,38938.4,15.2,5147.8,1658.6,9615.0,,,,,,FINANCIAL SERVICES
15,15,15,2017-07-01,ITC,138004.0,4767.7,142772.0,100540.0,42231.7,42127.9,103.8,42024.1,13840.8,25605.0,2.11,12152.2,342.5,9615.0,,,,,,CONSUMER GOODS
19,19,19,2017-07-01,HDFC,81287.7,129.9,81417.6,3273.1,78144.5,23700.7,54443.8,-30743.1,8030.0,15557.4,9.79,3185.8,1621.65,9615.0,,,,,,FINANCIAL SERVICES
29,29,29,2017-07-01,HINDUNILVR,92220.0,1130.0,93350.0,73560.0,19790.0,19600.0,60.0,19540.0,5630.0,12830.0,5.93,2160.0,1097.75,9615.0,,,,,,CONSUMER GOODS
32,32,32,2017-07-01,MARUTI,197774.0,6827.0,204601.0,174462.0,30139.0,29826.0,313.0,29513.0,7423.0,15564.0,51.52,1510.0,7354.0,9615.0,,,,,,AUTOMOBILE
37,37,37,2017-07-01,INFY,149710.0,7230.0,156940.0,106350.0,50590.0,50590.0,0.0,50590.0,13010.0,34150.0,14.87,11480.0,951.9,9615.0,,,,,,IT
42,42,42,2017-07-01,KOTAKBANK,46557.8,9068.8,55626.6,15570.7,15953.6,0.0,24102.3,-24102.3,4788.9,9127.3,4.88,9517.5,948.85,9615.0,,,,,,FINANCIAL SERVICES
47,47,47,2017-07-01,ICICIBANK,134591.0,33879.1,168470.0,37944.4,51833.1,0.0,78692.9,-78692.9,5255.7,20490.0,3.2,12827.8,290.05,9615.0,,,,,,FINANCIAL SERVICES
56,56,56,2017-07-01,BHARTIARTL,145065.0,516.0,145581.0,96075.0,49506.0,36012.0,13454.0,22558.0,1417.0,2806.0,0.7,19987.0,382.05,9615.0,,,,,,TELECOM
66,66,66,2017-07-01,NTPC,198793.0,6626.1,205419.0,146110.0,59309.8,50353.8,8956.0,41397.8,8472.1,26181.7,3.18,82454.6,156.75,9615.0,,,,,,ENERGY
71,71,71,2017-07-01,WIPRO,111528.0,6258.0,117786.0,88300.0,29486.0,28587.0,899.0,27688.0,5807.0,20268.0,4.18,9732.0,259.6,9615.0,,,,,,IT
76,76,76,2017-07-01,HCLTECH,51790.0,1990.0,53780.0,30670.0,23110.0,23050.0,60.0,22990.0,4120.0,17620.0,12.35,2853.98,838.15,9615.0,,,,,,IT
91,91,91,2017-07-01,AXISBANK,110525.0,29998.1,140523.0,33247.9,42911.6,0.0,64363.5,-64363.5,6436.3,13056.0,5.45,4794.0,517.25,9615.0,,,,,,FINANCIAL SERVICES
101,101,101,2017-07-01,ULTRACEMCO,75202.8,1651.7,76854.5,59602.1,17252.4,15967.5,1284.9,14682.6,3963.4,8906.2,32.44,2745.2,3998.85,9615.0,,,,,,CEMENT & CEMENT PRODUCTS
102,102,102,2017-07-01,ASIANPAINT,35945.7,861.4,36807.1,29974.9,6832.2,6789.3,42.9,6746.4,2022.3,4009.5,4.18,959.2,1120.25,9615.0,,,,,,CONSUMER GOODS
112,112,112,2017-07-01,VEDL,93780.0,5680.0,99460.0,80910.0,18550.0,7520.0,11030.0,-3510.0,120.0,340.0,0.04,3720.0,254.3,9615.0,,,,,,METALS
117,117,117,2017-07-01,INDUSINDBK,41355.1,11672.6,53027.7,13527.9,15885.3,0.0,23614.5,-23614.5,4420.1,8365.5,13.98,5985.2,1490.95,9615.0,,,,,,FINANCIAL SERVICES
132,132,132,2017-07-01,BAJAJ-AUTO,58541.9,4572.8,63114.7,49158.4,13956.3,13633.9,2.4,13631.5,3642.0,9239.3,31.9,2893.7,2789.35,9615.0,,,,,,AUTOMOBILE
137,137,137,2017-07-01,YESBANK,46538.0,11321.6,57859.6,12368.9,17042.0,0.0,28448.7,-28448.7,4529.0,9655.2,21.12,4574.9,1492.75,9615.0,,,,,,FINANCIAL SERVICES
142,142,142,2017-07-01,HEROMOTOCO,86129.1,1317.0,87446.1,73170.0,14276.1,14260.3,15.8,14244.5,3790.4,9140.4,45.77,399.4,3776.1,9615.0,,,,,,AUTOMOBILE
