Year,close_price,stock_ticker
31-Mar-17,"1,446.05",ACC
31-Mar-16,"1,381.90",ACC
31-Mar-15,"1,562.75",ACC
31-Mar-14,"1,399.55",ACC
01-Jul-13,"1,220.05",ACC
31-Mar-17,339.6,ADANIPORTS
31-Mar-16,247.7,ADANIPORTS
31-Mar-15,308.2,ADANIPORTS
31-Mar-14,187.45,ADANIPORTS
01-Jul-13,151.55,ADANIPORTS
31-Mar-17,236.65,AMBUJACEM
31-Mar-16,232.55,AMBUJACEM
31-Mar-15,255.3,AMBUJACEM
31-Mar-14,202.2,AMBUJACEM
01-Jul-13,189.05,AMBUJACEM
31-Mar-17,"1,073.50",ASIANPAINT
31-Mar-16,868.4,ASIANPAINT
31-Mar-15,811.3,ASIANPAINT
31-Mar-14,547.95,ASIANPAINT
01-Jul-13,"4,712.50",ASIANPAINT
31-Mar-17,675.2,AUROPHARMA
31-Mar-16,744.9,AUROPHARMA
31-Mar-15,"1,221.60",AUROPHARMA
31-Mar-14,511.5,AUROPHARMA
01-Jul-13,186.9,AUROPHARMA
31-Mar-17,490.8,AXISBANK
31-Mar-16,444.15,AXISBANK
31-Mar-15,560.2,AXISBANK
31-Mar-14,"1,460.50",AXISBANK
01-Jul-13,"1,348.80",AXISBANK
31-Mar-17,"2,805.45",BAJAJ-AUTO
31-Mar-16,"2,405.95",BAJAJ-AUTO
31-Mar-15,"2,016.60",BAJAJ-AUTO
31-Mar-14,"2,083.60",BAJAJ-AUTO
01-Jul-13,"1,922.90",BAJAJ-AUTO
31-Mar-17,172.95,BANKBARODA
31-Mar-16,147,BANKBARODA
31-Mar-15,163.5,BANKBARODA
31-Mar-14,720.75,BANKBARODA
01-Jul-13,590.9,BANKBARODA
31-Mar-17,649.85,BPCL
31-Mar-16,904.3,BPCL
31-Mar-15,810.8,BPCL
31-Mar-14,460.05,BPCL
01-Jul-13,374.35,BPCL
31-Mar-17,350.05,BHARTIARTL
31-Mar-16,350.8,BHARTIARTL
31-Mar-15,393.3,BHARTIARTL
31-Mar-14,317.75,BHARTIARTL
01-Jul-13,296.15,BHARTIARTL
31-Mar-17,325.9,INFRATEL
31-Mar-16,381.95,INFRATEL
31-Mar-15,385,INFRATEL
31-Mar-14,203.4,INFRATEL
01-Jul-13,153.05,INFRATEL
31-Mar-17,"22,751.25",BOSCHLTD
31-Mar-16,"20,784.50",BOSCHLTD
31-Mar-15,"25,421.35",BOSCHLTD
31-Mar-14,"10,892.35",BOSCHLTD
01-Jul-13,"8,915.15",BOSCHLTD
31-Mar-17,592.95,CIPLA
31-Mar-16,511.95,CIPLA
31-Mar-15,712.45,CIPLA
31-Mar-14,382.8,CIPLA
01-Jul-13,397.75,CIPLA
31-Mar-17,292.65,COALINDIA
31-Mar-16,291.95,COALINDIA
31-Mar-15,362.9,COALINDIA
31-Mar-14,288.75,COALINDIA
01-Jul-13,305,COALINDIA
31-Mar-17,"2,632.35",DRREDDY
31-Mar-16,"3,035.20",DRREDDY
31-Mar-15,"3,488.75",DRREDDY
31-Mar-14,"2,563.90",DRREDDY
01-Jul-13,"2,263.80",DRREDDY
31-Mar-17,"25,587.50",EICHERMOT
31-Mar-16,"19,180.60",EICHERMOT
31-Mar-15,"15,908.15",EICHERMOT
31-Mar-14,"5,961.50",EICHERMOT
01-Jul-13,"3,464.65",EICHERMOT
31-Mar-17,376.95,GAIL
31-Mar-16,356.4,GAIL
31-Mar-15,387.8,GAIL
31-Mar-14,376.05,GAIL
01-Jul-13,324.9,GAIL
31-Mar-17,874.75,HCLTECH
31-Mar-16,814.1,HCLTECH
31-Mar-15,980.4,HCLTECH
31-Mar-14,"1,390.70",HCLTECH
01-Jul-13,758.4,HCLTECH
31-Mar-17,"1,442.55",HDFCBANK
31-Mar-16,"1,071.15",HDFCBANK
31-Mar-15,"1,022.70",HDFCBANK
31-Mar-14,748.8,HDFCBANK
01-Jul-13,668.75,HDFCBANK
31-Mar-17,"3,221.95",HEROMOTOCO
31-Mar-16,"2,945.70",HEROMOTOCO
31-Mar-15,"2,639.80",HEROMOTOCO
31-Mar-14,"2,274.80",HEROMOTOCO
01-Jul-13,"1,698.60",HEROMOTOCO
31-Mar-17,195.05,HINDALCO
31-Mar-16,87.95,HINDALCO
31-Mar-15,129,HINDALCO
31-Mar-14,141.75,HINDALCO
01-Jul-13,101.9,HINDALCO
31-Mar-17,911.75,HINDUNILVR
31-Mar-16,869.5,HINDUNILVR
31-Mar-15,873.55,HINDUNILVR
31-Mar-14,605.55,HINDUNILVR
01-Jul-13,587.4,HINDUNILVR
31-Mar-17,"1,502.10",HDFC
31-Mar-16,"1,105.60",HDFC
31-Mar-15,"1,315.70",HDFC
31-Mar-14,883.9,HDFC
01-Jul-13,889.65,HDFC
31-Mar-17,280.3,ITC
31-Mar-16,328.25,ITC
31-Mar-15,325.85,ITC
31-Mar-14,352.85,ITC
01-Jul-13,325.95,ITC
31-Mar-17,276.85,ICICIBANK
31-Mar-16,236.65,ICICIBANK
31-Mar-15,315.5,ICICIBANK
31-Mar-14,"1,245.05",ICICIBANK
01-Jul-13,"1,067.90",ICICIBANK
31-Mar-17,997.75,IBULHSGFIN
31-Mar-16,649.9,IBULHSGFIN
31-Mar-15,557.9,IBULHSGFIN
31-Mar-14,237.55,IBULHSGFIN
31-Mar-17,387.05,IOC
31-Mar-16,393.6,IOC
31-Mar-15,368.65,IOC
31-Mar-14,281.65,IOC
01-Jul-13,236.6,IOC
31-Mar-17,"1,425.15",INDUSINDBK
31-Mar-16,967.6,INDUSINDBK
31-Mar-15,886,INDUSINDBK
31-Mar-14,501.85,INDUSINDBK
01-Jul-13,471.95,INDUSINDBK
31-Mar-17,"1,022.25",INFY
31-Mar-16,"1,218.30",INFY
31-Mar-15,"2,218.35",INFY
