,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital
0,kotakbank,JUN'17,"46,557.80","9,068.80","55,626.60","15,570.70","15,953.60",0.00,"24,102.30","-24,102.30",0.00,"13,916.20","4,788.90","9,127.30",4.88,"9,517.50",0.00
1,kotakbank,MAR'17,"44,320.00","10,026.50","54,346.50","14,620.20","17,020.00",0.00,"22,706.30","-22,706.30",0.00,"14,346.30","4,581.50","9,764.80",5.31,"9,204.50",0.00
2,kotakbank,DEC'16,"44,676.10","9,102.20","53,778.30","14,328.40","15,277.00","13,356.00","24,172.90","-10,816.90",0.00,"13,356.00","4,558.40","8,797.60",4.79,"9,196.30",0.00
3,kotakbank,SEP'16,"44,124.70","8,311.10","52,435.80","13,863.90","14,400.80","12,423.20","24,171.10","-11,747.90",0.00,"12,423.20","4,290.30","8,132.90",4.43,"9,186.40",0.00
4,kotakbank,JUN'16,"43,868.50","7,331.80","51,200.30","13,372.50","13,150.30","11,355.20","24,677.50","-13,322.30",0.00,"11,355.20","3,935.50","7,419.70",4.04,"9,177.90",0.00
0,icicibank,JUN'17,"1,34,591.00","33,879.10","1,68,470.00","37,944.40","51,833.10",0.00,"78,692.90","-78,692.90",0.00,"25,745.70","5,255.70","20,490.00",3.20,"12,827.80",0.00
1,icicibank,JUN'17,"1,34,591.00","33,879.10","1,68,470.00","37,944.40","51,833.10",0.00,"78,692.90","-78,692.90",0.00,"25,745.70","5,255.70","20,490.00",3.20,"12,827.80",0.00
2,icicibank,MAR'17,"1,35,685.00","30,172.30","1,65,858.00","38,673.70","51,120.20",0.00,"76,063.70","-76,063.70",0.00,"22,138.00","1,891.60","20,246.40",3.48,"11,651.10",0.00
3,icicibank,DEC'16,"1,36,181.00","39,383.10","1,75,564.00","37,777.40","55,239.20","28,112.20","82,547.50","-54,435.30",0.00,"28,112.20","3,694.00","24,418.20",4.20,"11,643.30",0.00
4,icicibank,SEP'16,"1,36,394.00","91,196.80","2,27,591.00","37,369.00","1,06,361.00",0.00,"83,861.10","-83,861.10",0.00,"35,533.80","4,511.10","31,022.70",5.33,"11,640.10",0.00
0,ioc,MAR'17,"12,22,850.00","20,593.40","12,43,450.00","11,78,770.00","64,679.50","53,139.00","11,540.50","41,598.50",0.00,"35,848.60","-1,357.60","37,206.20",7.85,"48,559.00",0.00
1,ioc,DEC'16,"9,31,167.00","7,929.10","9,39,096.00","8,51,681.00","87,415.20","77,448.50","9,966.70","67,481.80",0.00,"61,907.30","21,958.20","39,949.10",8.43,"48,559.00",0.00
2,ioc,SEP'16,"8,03,701.00","8,541.30","8,12,242.00","7,45,979.00","66,263.50","60,116.80","6,146.70","53,970.10",0.00,"45,068.70","13,849.80","31,218.90",6.58,"24,279.50",0.00
3,ioc,JUN'16,"8,60,807.00","4,703.00","8,65,510.00","7,23,972.00","1,41,538.00","1,34,738.00","6,800.40","1,27,937.60",0.00,"1,20,388.00","37,698.00","82,689.80",34.90,"24,279.50",0.00
4,ioc,MAR'16,"8,04,496.00","6,573.90","8,11,070.00","7,64,053.00","47,016.90","36,260.10","10,681.60","25,578.50",0.00,"22,145.70","9,789.30","12,356.40",5.09,"24,279.50",0.00
0,bhartiartl,JUN'17,"1,45,065.00",516.00,"1,45,581.00","96,075.00","49,506.00","36,012.00","13,454.00","22,558.00",0.00,"4,223.00","1,417.00","2,806.00",0.70,"19,987.00",0.00
1,bhartiartl,MAR'17,"1,42,998.00",513.00,"1,43,511.00","93,198.00","50,313.00","-1,22,738.00","7,523.00","-1,30,261.00",0.00,"-1,55,489.00","-4,658.00","-1,50,831.00",-37.74,"19,987.00",0.00
2,bhartiartl,DEC'16,"1,52,396.00",0.00,"1,52,396.00","95,480.00","56,916.00","39,814.00","14,022.00","25,792.00",0.00,"9,797.00","5,579.00","4,218.00",1.06,"19,987.00",0.00
3,bhartiartl,SEP'16,"1,64,801.00","4,049.00","1,68,850.00","98,527.00","70,323.00","69,143.00",0.00,"69,143.00",0.00,"39,754.00","6,673.00","33,081.00",8.28,"19,987.00",0.00
4,bhartiartl,JUN'16,"1,63,397.00",501.00,"1,63,898.00","97,274.00","66,624.00","50,720.00","12,984.00","37,736.00",0.00,"20,843.00","6,568.00","14,275.00",3.57,"19,987.00",0.00
0,coalindia,MAR'17,924.90,"1,33,928.00","1,34,852.00","2,635.90","1,32,216.00","1,34,542.00","-2,325.80","1,36,867.80",0.00,"1,34,494.00",111.40,"1,34,383.00",21.65,"62,074.10",0.00
1,coalindia,DEC'16,"1,002.60","1,569.10","2,571.70","2,453.10",118.60,-346.80,465.40,-812.20,0.00,-390.30,0.00,-390.30,-0.05,"62,074.10",0.00
2,coalindia,SEP'16,812.40,"12,908.20","13,720.60","2,452.60","11,268.00","11,008.20",259.80,"10,748.40",0.00,"10,966.30",-9.40,"10,975.70",1.74,"63,163.60",0.00
3,coalindia,JUN'16,231.60,"1,642.70","1,874.30","1,547.80",326.50,88.20,238.30,-150.10,0.00,46.20,9.40,36.80,0.01,"63,163.60",0.00
4,coalindia,MAR'16,429.10,"1,42,152.00","1,42,581.00","1,603.90","1,40,977.00","1,40,797.00",179.80,"1,40,617.20",0.00,"1,40,777.00","1,276.20","1,39,501.00",22.08,"63,163.60",0.00
0,ntpc,JUN'17,"1,98,793.00","6,626.10","2,05,419.00","1,46,110.00","59,309.80","50,353.80","8,956.00","41,397.80",0.00,"34,653.80","8,472.10","26,181.70",3.18,"82,454.60",0.00
1,ntpc,MAR'17,"2,04,167.00","4,701.80","2,08,868.00","1,45,919.00","62,949.90","46,141.20","8,979.20","37,162.00",0.00,"30,079.50","9,285.50","20,794.00",2.52,"82,454.60",0.00
2,ntpc,DEC'16,"1,93,959.00","2,501.70","1,96,461.00","1,41,699.00","54,762.00","45,671.70","9,090.30","36,581.40",0.00,"30,818.60","6,131.40","24,687.20",3.00,"82,454.60",0.00
3,ntpc,SEP'16,"1,93,979.00","1,906.20","1,95,886.00","1,40,066.00","55,820.00","46,921.70","8,898.30","38,023.40",0.00,"32,580.20","7,620.50","24,959.70",3.03,"82,454.60",0.00
4,ntpc,JUN'16,"1,90,629.00","1,578.90","1,92,208.00","1,38,491.00","53,717.40","44,713.20","9,004.20","35,709.00",0.00,"30,761.30","7,066.00","23,695.30",2.87,"82,454.60",0.00
0,wipro,JUN'17,"1,11,528.00","6,258.00","1,17,786.00","88,300.00","29,486.00","28,587.00",899.00,"27,688.00",0.00,"26,075.00","5,807.00","20,268.00",4.18,"9,732.00",0.00
1,wipro,MAR'17,"1,16,282.00","6,388.00","1,22,670.00","89,723.00","32,947.00","32,703.00",244.00,"32,459.00",0.00,"30,051.00","7,016.00","23,035.00",9.53,"4,861.00",0.00
2,wipro,DEC'16,"1,13,783.00","6,398.00","1,20,181.00","90,215.00","29,966.00","28,539.00","1,427.00","27,112.00",0.00,"25,722.00","6,537.00","19,185.00",7.94,"4,861.00",0.00
3,wipro,SEP'16,"1,14,538.00","6,478.00","1,21,016.00","92,319.00","28,697.00","27,744.00",953.00,"26,791.00",0.00,"25,147.00","5,826.00","19,321.00",7.98,"4,861.00",0.00
4,wipro,JUN'16,"1,15,875.00","6,435.00","1,22,310.00","92,651.00","29,659.00","28,362.00","1,297.00","27,065.00",0.00,"25,951.00","5,874.00","20,077.00",8.17,"4,941.00",0.00
0,hcltech,JUN'17,"51,790.00","1,990.00","53,780.00","30,670.00","23,110.00","23,050.00",60.00,"22,990.00",0.00,"21,740.00","4,120.00","17,620.00",12.35,"2,853.98",0.00
1,hcltech,MAR'17,"51,144.80","2,306.40","53,451.20","32,768.10","20,683.10","20,344.70",338.40,"20,006.30",0.00,"18,746.30","1,534.90","17,211.40",12.06,"2,853.60",0.00
2,hcltech,DEC'16,"48,892.60","2,020.60","50,913.20","28,780.50","22,132.70","22,038.40",94.30,"21,944.10",0.00,"20,804.20","4,188.80","16,615.40",11.78,"2,822.40",0.00
3,hcltech,SEP'16,"47,057.70","2,379.60","49,437.30","27,433.90","22,003.40","21,978.50",24.90,"21,953.60",0.00,"20,955.80","4,048.60","16,907.20",11.98,"2,821.80",0.00
