,links
0,http://money.rediff.com/companies/acc/11510001
1,http://money.rediff.com/companies/adani-ports-and-speci/17025086
2,http://money.rediff.com/companies/ambuja-cements-ltd/11510005
3,http://money.rediff.com/companies/asian-paints-ltd/11580001
4,http://money.rediff.com/companies/aurobindo-pharma/12540244
5,http://money.rediff.com/companies/axis-bank-ltd/14030047
6,http://money.rediff.com/companies/bajaj-auto-ltd/10540026
7,http://money.rediff.com/companies/bank-of-baroda/14030010
8,http://money.rediff.com/companies/bharat-petroleum/12140020
9,http://money.rediff.com/companies/bharti-airtel/15200022
10,http://money.rediff.com/companies/bharti-infratel-ltd/15200071
11,http://money.rediff.com/companies/bosch-ltd/10610013
12,http://money.rediff.com/companies/cipla/12540010
13,http://money.rediff.com/companies/coal-india-ltd/15110007
14,http://money.rediff.com/companies/dr-reddys-labs/12540015
15,http://money.rediff.com/companies/eicher-motors/10510004
16,http://money.rediff.com/companies/gail-india-ltd/15120010
17,http://money.rediff.com/companies/hcl-technologies/13020101
18,http://money.rediff.com/companies/hdfc/14080001
19,http://money.rediff.com/companies/hdfc-bank/14030055
20,http://money.rediff.com/companies/hero-motocorp/10540005
21,http://money.rediff.com/companies/hindalco-indus/15040001
22,http://money.rediff.com/companies/hindustan-unilever-l/12520002
23,http://money.rediff.com/companies/icici-bank/14030056
24,http://money.rediff.com/companies/itc-ltd/12630003
25,http://money.rediff.com/companies/indiabulls-housing-f/14010549
26,http://money.rediff.com/companies/indian-oil-corp/12140022
27,http://money.rediff.com/companies/indusind-bank/14030054
28,http://money.rediff.com/companies/infosys/13020007
29,http://money.rediff.com/companies/kotak-mahindra-bank/14060005
30,http://money.rediff.com/companies/landt/17010013
31,http://money.rediff.com/companies/lupin-ltd/12540136
32,http://money.rediff.com/companies/mahi-and-mahi/10520003
33,http://money.rediff.com/companies/maruti-suzuki-india/10520005
34,http://money.rediff.com/companies/ntpc/15130025
35,http://money.rediff.com/companies/ongc/12140006
36,http://money.rediff.com/companies/power-grid-corpo/15130029
37,http://money.rediff.com/companies/reliance-inds/12150008
38,http://money.rediff.com/companies/sbi/14030001
39,http://money.rediff.com/companies/sun-pharma/12540191
40,http://money.rediff.com/companies/tata-consultancy/13020033
41,http://money.rediff.com/companies/tata-motors-ltd/10510008
42,http://money.rediff.com/companies/tata-power-co/15130008
43,http://money.rediff.com/companies/tata-steel/15510001
44,http://money.rediff.com/companies/tech-mahindra-ltd/10520003.01
45,http://money.rediff.com/companies/ultratech-cement/11520068
46,http://money.rediff.com/companies/vedanta/17020022
47,http://money.rediff.com/companies/wipro-ltd/11060011
48,http://money.rediff.com/companies/yes-bank-ltd/14030144
49,http://money.rediff.com/companies/zee-entertainment-en/17020092
