,Unnamed: 0,date,stock_ticker,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Tax,Net Profit,Earnings Per Share,Equity,stock_price,nifty_price,stock_price_90d,nifty_price_90d,stock_pc_change,nifty_pc_change,status,Industry
0,0,2017-07-01,RELIANCE,704340.0,19180.0,723520.0,588450.0,135070.0,127190.0,7880.0,119310.0,23650.0,81960.0,25.21,32520.0,1381.05,9615.0,,,,,,ENERGY
1,1,2017-04-01,RELIANCE,745980.0,13710.0,759690.0,633180.0,126510.0,124160.0,2350.0,121810.0,18560.0,81510.0,25.13,32510.0,1374.65,9237.849609,1380.0,9520.900391,0.3891899756301538,3.0640332326284616,Underperform,ENERGY
2,2,2017-01-01,RELIANCE,618060.0,30250.0,648310.0,512020.0,136290.0,126980.0,9310.0,117670.0,25990.0,80220.0,24.7,32440.0,1085.1,8179.5,1374.65,9237.849609,26.684176573587713,12.939050174216039,Outperform,ENERGY
3,3,2016-10-01,RELIANCE,595770.0,22800.0,618570.0,490220.0,128350.0,122020.0,6330.0,115690.0,24690.0,77040.0,23.8,32430.0,1090.7,8738.099609,1082.4,8185.799805,-0.7609791876776341,-6.320594050348745,Outperform,ENERGY
4,4,2016-07-01,RELIANCE,534960.0,20330.0,555290.0,426790.0,128500.0,119260.0,9240.0,110020.0,24280.0,75480.0,23.3,32420.0,973.45,8328.349609,1072.45,8591.25,10.17001386820073,3.1566925422522716,Outperform,ENERGY
5,5,2017-07-01,TCS,234760.0,24140.0,258900.0,171900.0,87000.0,86790.0,210.0,86580.0,16130.0,66700.0,34.11,1910.0,2373.6,9615.0,,,,,,IT
6,6,2017-04-01,TCS,234060.0,10540.0,244600.0,166910.0,77690.0,77650.0,40.0,77610.0,15330.0,58330.0,29.61,1970.4,2411.7,9237.849609,2362.35,9520.900391,-2.046274412240325,3.0640332326284616,Underperform,IT
7,7,2017-01-01,TCS,231840.0,13600.0,245440.0,164360.0,81080.0,81050.0,30.0,81020.0,16270.0,60840.0,30.88,1970.4,2361.35,8179.5,2411.7,9237.849609,2.1322548542147457,12.939050174216039,Underperform,IT
8,8,2016-10-01,TCS,230160.0,11750.0,241910.0,161970.0,79940.0,79910.0,30.0,79880.0,16370.0,59580.0,30.24,1970.4,2411.7,8738.099609,2365.55,8185.799805,-1.9135879255296944,-6.320594050348745,Outperform,IT
9,9,2016-07-01,TCS,230870.0,9790.0,240660.0,162800.0,77860.0,77800.0,60.0,77740.0,16160.0,57780.0,29.32,1970.4,2500.85,8328.349609,2437.8,8591.25,-2.5211428114440984,3.1566925422522716,Underperform,IT
10,10,2017-07-01,HDFCBANK,186687.0,35166.6,221854.0,53674.6,75199.4,0.0,92979.8,-92979.8,20673.4,38938.4,15.2,5147.8,1658.6,9615.0,,,,,,FINANCIAL SERVICES
11,11,2017-04-01,HDFCBANK,181144.0,34462.6,215607.0,52219.6,72794.0,0.0,90593.0,-90593.0,20275.1,39900.9,15.6,5125.1,1433.2,9237.849609,1652.05,9520.900391,15.27002511861568,3.0640332326284616,Outperform,FINANCIAL SERVICES
12,12,2017-01-01,HDFCBANK,176056.0,31426.7,207483.0,48425.1,66092.5,58934.7,92965.1,-34030.4,20281.4,38653.3,15.2,5110.7,1197.1,8179.5,1433.2,9237.849609,19.72266310249772,12.939050174216039,Outperform,FINANCIAL SERVICES
13,13,2016-10-01,HDFCBANK,170699.0,29009.5,199709.0,48699.9,60245.5,0.0,90763.5,-90763.5,18202.3,34553.3,13.6,5091.3,1287.2,8738.099609,1206.2,8185.799805,-6.292728402734617,-6.320594050348745,Outperform,FINANCIAL SERVICES
14,14,2016-07-01,HDFCBANK,165160.0,28066.1,193226.0,47688.6,58191.9,49524.6,87345.8,-37821.2,17135.5,32389.1,12.8,5070.1,1174.5,8328.349609,1277.5,8591.25,8.769689229459344,3.1566925422522716,Outperform,FINANCIAL SERVICES
15,15,2017-07-01,ITC,138004.0,4767.7,142772.0,100540.0,42231.7,42127.9,103.8,42024.1,13840.8,25605.0,2.11,12152.2,342.5,9615.0,,,,,,CONSUMER GOODS
16,16,2017-04-01,ITC,150088.0,4021.0,154109.0,111334.0,42774.9,42889.5,-114.6,43004.1,13776.7,26694.7,2.2,12147.4,281.55,9237.849609,323.65,9520.900391,14.952939087195865,3.0640332326284616,Outperform,CONSUMER GOODS
17,17,2017-01-01,ITC,92483.9,6879.4,99363.3,57020.0,42343.3,42207.4,135.9,42071.5,13074.7,26467.3,2.18,12121.4,240.95,8179.5,281.55,9237.849609,16.84996887321022,12.939050174216039,Outperform,CONSUMER GOODS
