,Company Name
1,abb-india-ltd_abbltd
2,abbott-india-ltd_abbotindia
3,acc-ltd_accltd
4,adani-ports-and-special-economic-zone-ltd_adaniports
5,ador-multiproducts-ltd_adormulti
6,advanced-enzyme-technologies-ltd_advenzymes
7,ahluwalia-contracts-_ahlucont
8,ajanta-pharma-ltd_ajantpharm
9,alembic-pharmaceuticals-ltd_aplltd
10,alkem-laboratories-ltd_alkem
11,allahabad-bank_albk
12,ambuja-cements-ltd_ambujacem
13,anant-raj-ltd_anantraj
14,andhra-bank_andhrabank
15,apar-industries-ltd_aparinds
16,apollotyre_apollotyre
17,ashiana-housing-ltd_ashiana
18,asian-paints-ltd_asianpaint
19,asian-star-company-ltd_asianstarco
20,au-small-finance-bank-ltd_aubank
21,aurobindo-pharma-ltd_auropharma
22,axis-bank-ltd_axisbank
23,bajaj-auto-ltd_bajaj-auto
24,bajaj-corp-ltd_bajajcorp
25,bajaj-electricals-ltd_bajajelec
26,bajaj-finance-ltd_bajfinance
27,bajaj-holdings-&-investment-ltd_bajajhldng
28,balmer-lawrie-investments-ltd_balmerlawinv
29,bank-of-baroda_bankbaroda
30,bank-of-india_bankindia
31,bank-of-maharashtra_mahabank
32,bata-india-ltd_bataindia
33,bataindia_bataindia
34,bengal-&-assam-company-ltd_bengal&assam
35,bharat-financial-inclusion-ltd_bharatfin
36,bharat-petroleum-corporation-ltd_bpcl
37,bharti-airtel-ltd_bhartiartl
38,bharti-infratel-ltd_binfra
39,biocon-ltd_biocon
40,biocon_biocon
41,bosch-ltd_boschltd
42,brigade-enterprises-ltd_brigade
43,cadila-healthcare-ltd_cadilahc
44,can-fin-homes-ltd_canfinhome
45,canara-bank_canbk
46,canbk_canbk
47,capital-first-ltd_capf
48,capital-trust-ltd_capitaltrust
49,caplin-point-laboratories-ltd_caplinlabs
50,castrol_castrol
51,ceat-ltd_ceatltd
52,ceatltd_ceatltd
53,central-bank-of-india_centralbk
54,cg-power-&-industrial-solutions-ltd_crompgreav
