,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
0,886.78,96.66,"4,434.00",110.00,"2,723.00","2,42,025.00","51,965.00","8,709.00","49,242.00","1,98,769.00",MAR'17,reliance
1,783.86,84.52,"4,262.00",105.00,"2,562.00","2,33,158.00","47,168.00","7,821.00","44,606.00","1,93,811.00",MAR'16,reliance
2,667.98,70.21,"3,686.00",100.00,"2,367.00","3,29,076.00","40,323.00","8,721.00","37,956.00","2,97,474.00",MAR'15,reliance
3,609.76,68.02,"3,370.00",95.00,"3,206.00","3,90,117.00","39,813.00","9,047.00","36,607.00","3,59,351.00",MAR'14,reliance
4,554.17,65.04,"3,354.00",90.00,"3,036.00","3,60,297.00","38,785.00","8,071.00","35,749.00","3,29,583.00",MAR'13,reliance
0,393.32,120.07,"48,116.00","4,700.00",16.00,"92,693.00","31,657.00","4,568.00","31,641.00","65,604.00",MAR'17,tcs
1,329.74,117.13,"42,420.00","4,350.00",13.00,"85,864.00","30,811.00","3,757.00","30,798.00","58,810.00",MAR'16,tcs
2,231.87,98.32,"38,255.22","7,900.00",79.57,"73,578.06","25,494.93","4,479.83","25,415.36","52,562.96",MAR'15,tcs
3,224.90,94.18,"30,782.84","3,200.00",23.41,"64,672.93","24,648.43","3,114.83","24,625.02","43,139.33",MAR'14,tcs
4,165.86,65.23,"23,899.59","2,200.00",30.62,"48,426.14","16,536.66","2,230.39","16,506.04","34,119.87",MAR'13,tcs
0,0.00,0.00,,0.00,,,,"12,296.50",,,MAR'17,hdfcbank
1,0.00,0.00,,0.00,,,,"10,751.72",,,MAR'16,hdfcbank
2,0.00,0.00,,0.00,,,,"8,996.35",,,MAR'15,hdfcbank
3,0.00,0.00,,0.00,,,,"7,919.64",,,MAR'14,hdfcbank
4,0.00,0.00,,0.00,,,,"6,852.62",,,MAR'13,hdfcbank
0,36.01,8.40,"2,444.31",475.00,45.33,"40,088.68","16,586.33","2,002.20","16,541.00","25,504.55",MAR'17,itc
1,50.27,11.59,"2,331.59",850.00,71.93,"36,582.67","15,506.68","1,828.15","15,434.75","22,904.14",MAR'16,itc
2,38.28,11.99,"1,780.04",625.00,78.45,"36,507.40","15,037.71","1,613.45","14,959.26","23,083.14",MAR'15,itc
3,32.95,11.05,"1,608.37",600.00,23.63,"33,238.60","13,582.66","1,107.14","13,559.03","20,763.08",MAR'14,itc
4,28.14,9.39,"1,387.01",525.00,105.91,"29,901.27","11,585.65",967.10,"11,479.74","19,282.72",MAR'13,itc
0,249.23,46.85,388.80,900.00,"20,934.56","33,112.79","31,717.16",71.27,,"1,466.90",MAR'17,hdfc
1,215.65,44.90,349.09,850.00,"19,409.15","30,905.12","29,571.53",51.45,,"1,385.04",MAR'16,hdfc
2,196.67,38.04,328.46,750.00,"17,975.09","27,401.16","26,629.01",69.70,,841.85,MAR'15,hdfc
3,179.14,34.86,279.18,700.00,"16,029.37","24,143.01","23,501.48",54.66,,696.19,MAR'14,hdfc
4,161.32,31.35,246.19,625.00,"13,890.89","21,112.50","20,487.32",35.12,,660.30,MAR'13,hdfc
0,0.00,0.00,,0.00,,,,"35,460.93",,,MAR'17,sbin
1,0.00,0.00,,0.00,,,,"27,845.37",,,MAR'16,sbin
2,0.00,0.00,,0.00,,,,"22,575.89",,,MAR'15,sbin
3,0.00,0.00,,0.00,,,,"18,552.92",,,MAR'14,sbin
4,0.00,0.00,,0.00,,,,"16,036.84",,,MAR'13,sbin
0,29.91,20.79,"1,620.00","1,700.00",22.00,"31,890.00","6,573.00",526.00,"6,551.00","25,843.00",MAR'17,hindunilvr
1,28.87,19.15,"1,573.00","1,600.00",15.00,"31,061.00","6,313.00",564.00,"6,298.00","25,312.00",MAR'16,hindunilvr
2,17.02,19.95,"1,578.89","1,500.00",16.82,"30,805.62","5,825.85",640.33,"5,809.03","25,620.10",MAR'15,hindunilvr
3,14.95,17.88,"1,435.95","1,300.00",36.03,"28,019.13","5,095.25",651.07,"5,059.22","23,574.95",MAR'14,hindunilvr
4,12.19,17.56,"1,318.34","1,850.00",25.15,"25,810.21","4,609.85",617.43,"4,584.70","21,817.79",MAR'13,hindunilvr
0,894.28,151.37,"1,988.70",700.00,81.50,"57,746.30","9,440.40",522.10,"9,358.90","48,828.00",MAR'16,maruti
1,784.91,122.89,"1,606.60",500.00,206.00,"49,970.60","7,544.50",900.70,"7,338.50","43,326.80",MAR'15,maruti
2,694.64,92.15,"1,368.10",240.00,175.90,"43,791.80","5,918.80",766.00,"5,742.90","38,639.00",MAR'14,maruti
3,615.20,79.21,"1,069.60",160.00,189.80,"43,587.90","5,042.00",856.20,"4,852.20","39,402.10",MAR'13,maruti
4,525.52,56.58,801.30,150.00,55.20,"35,587.10","3,339.80",869.50,"3,284.60","33,116.80",MAR'12,maruti
0,295.72,60.18,"30,944.00",515.00,0.00,"59,289.00","20,269.00","3,062.00","20,269.00","42,082.00",MAR'17,infy
1,266.00,55.28,"28,207.00",485.00,0.00,"53,983.00","18,715.00","3,051.00","18,715.00","38,319.00",MAR'16,infy
2,418.69,105.96,"25,115.00","1,190.00",8.00,"47,300.00","17,307.00","3,337.00","17,299.00","33,330.00",MAR'15,infy
3,735.87,178.22,"24,350.00","1,260.00",6.00,"44,341.00","15,109.00","2,576.00","15,103.00","31,808.00",MAR'14,infy
4,628.21,158.82,"19,932.00",840.00,3.00,"36,765.00","13,233.00","2,217.00","13,230.00","25,749.00",MAR'13,infy
0,0.00,0.00,,0.00,,,,"3,477.16",,,MAR'17,kotakbank
1,0.00,0.00,,0.00,,,,"2,612.23",,,MAR'16,kotakbank
2,0.00,0.00,,0.00,,,,"2,028.45",,,MAR'15,kotakbank
3,0.00,0.00,,0.00,,,,"1,399.71",,,MAR'14,kotakbank
4,0.00,0.00,,0.00,,,,"1,160.66",,,MAR'13,kotakbank
0,0.00,0.00,,0.00,,,,"19,504.48",,,MAR'17,icicibank
1,0.00,0.00,,0.00,,,,"15,323.05",,,MAR'16,icicibank
2,0.00,0.00,,0.00,,,,"12,176.13",,,MAR'15,icicibank
3,0.00,0.00,,0.00,,,,"10,427.87",,,MAR'14,icicibank
4,0.00,0.00,,0.00,,,,"8,345.70",,,MAR'13,icicibank
0,304.28,42.83,"7,637.09",140.00,"3,016.18","3,51,124.03","22,344.22","5,309.44","19,328.04","3,34,089.25",MAR'16,ioc
1,279.56,21.72,"7,104.78",66.00,"3,458.47","4,38,094.13","14,314.33","5,553.86","10,855.86","4,29,333.66",MAR'15,ioc
2,271.56,28.91,"6,618.97",87.00,"5,120.99","4,73,657.78","19,059.79","3,466.97","13,938.80","4,58,064.97",MAR'14,ioc
3,251.70,20.61,"7,271.27",62.00,"6,479.48","4,47,401.03","17,328.27","3,590.29","10,848.79","4,33,663.06",MAR'13,ioc
4,238.31,16.29,"4,976.96",50.00,"5,642.80","3,98,476.63","21,972.72","4,837.90","16,329.92","3,81,341.81",MAR'12,ioc
0,252.19,-24.83,"1,738.50",20.00,"5,254.60","62,276.30","26,219.30","2,526.40","20,964.70","38,583.40",MAR'17,bhartiartl
1,278.55,19.46,"1,864.80",27.20,"3,545.30","60,300.30","24,054.90","1,743.70","20,509.60","37,989.10",MAR'16,bhartiartl
2,195.21,33.02,"1,691.50",77.00,"1,409.10","55,496.40","24,624.10","5,193.00","23,215.00","36,065.30",MAR'15,bhartiartl
3,166.33,16.51,"1,648.10",36.00,"1,336.40","49,918.50","17,152.20",853.40,"15,815.80","33,619.70",MAR'14,bhartiartl
