,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
0,kotakbank,MAR'17,"1,76,989.00","34,771.60","2,11,761.00","56,185.00","59,848.10",0.00,"95,727.80","-95,727.80",0.00,"51,480.70","17,365.70","34,115.00",18.57,"9,204.50",0.00,"2,66,956.00",5.00
1,kotakbank,MAR'16,"1,63,842.00","26,122.30","1,89,964.00","54,715.20","40,410.90",0.00,"94,838.10","-94,838.10",0.00,"31,237.20","10,339.40","20,897.80",11.42,"9,171.90",0.00,"2,30,419.00",5.00
2,kotakbank,MAR'15,"97,198.70","20,284.50","1,17,483.00","32,547.30","29,974.60",0.00,"54,961.30","-54,961.30",0.00,"28,329.60","9,669.80","18,659.80",24.20,"3,861.80",0.00,"1,37,549.00",5.00
3,kotakbank,MAR'14,"87,671.20","13,997.10","1,01,668.00","25,426.10","25,771.50","22,724.50","50,470.70","-27,746.20",0.00,"22,724.50","7,699.30","15,025.20",19.62,"3,851.60",0.00,"1,18,899.00",5.00
4,kotakbank,MAR'13,"80,424.90","11,606.70","92,031.60","22,097.30","21,566.10","19,720.60","48,368.20","-28,647.60",0.00,"19,720.60","6,113.40","13,607.20",18.31,"3,733.10",0.00,"90,736.50",5.00
0,icicibank,MAR'17,"5,41,563.00","1,95,045.00","7,36,608.00","1,47,551.00","2,64,867.00",0.00,"3,24,190.00","-3,24,190.00",0.00,"1,12,786.00","14,775.20","98,010.90",16.84,"11,651.10",0.00,"9,57,376.00",2.00
1,icicibank,MAR'16,"5,27,394.00","1,53,230.00","6,80,625.00","1,26,836.00","2,38,635.00","1,21,957.00","3,15,154.00","-1,93,197.00",0.00,"1,21,957.00","24,694.30","97,262.90",16.75,"11,631.70",0.00,"8,57,482.00",2.00
2,icicibank,MAR'15,"4,90,911.00","1,21,761.00","6,12,673.00","1,14,958.00","1,97,199.00",0.00,"3,00,515.00","-3,00,515.00",0.00,"1,58,199.00","46,445.70","1,11,754.00",19.32,"11,596.60",0.00,"7,92,623.00",2.00
3,icicibank,MAR'14,"4,41,782.00","1,04,279.00","5,46,060.00","1,03,089.00","1,65,946.00","1,39,682.00","2,77,026.00","-1,37,344.00",0.00,"1,39,682.00","41,576.90","98,104.80",84.99,"11,550.40",0.00,"7,20,517.00",10.00
4,icicibank,MAR'13,"4,00,756.00","83,457.00","4,84,213.00","90,128.80","1,31,992.00","1,13,967.00","2,62,092.00","-1,48,125.00",0.00,"1,13,967.00","30,712.20","83,254.70",72.20,"11,536.40",0.00,"6,55,478.00",10.00
