,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
0,RELIANCE,MAR'17,"26,50,410.00","87,090.00","27,37,500.00","22,17,850.00","5,19,650.00","4,92,420.00","27,230.00","4,65,190.00",0,"4,07,770.00","93,520.00","3,14,250.00",96.9,"32,510.00",0,"28,50,620.00",10
1,RELIANCE,MAR'16,"23,31,580.00","75,820.00","24,07,400.00","19,30,190.00","4,77,210.00","4,52,670.00","24,540.00","4,28,130.00",0,"3,57,010.00","82,840.00","2,74,170.00",84.7,"32,400.00",0,"23,69,360.00",10
2,RELIANCE,MAR'15,"32,90,760.00","87,210.00","33,77,970.00","29,74,740.00","4,03,230.00","3,79,560.00","23,670.00","3,55,890.00",0,"2,94,680.00","67,490.00","2,27,190.00",70.2,"32,360.00",0,"21,29,230.00",10
3,RELIANCE,MAR'14,"39,01,170.00","89,360.00","39,90,530.00","35,92,400.00","3,98,130.00","3,66,070.00","32,060.00","3,34,010.00",0,"2,78,180.00","58,340.00","2,19,840.00",68.02,"32,320.00",0,"19,38,420.00",10
4,RELIANCE,MAR'13,"36,02,970.00","79,980.00","36,82,950.00","32,95,100.00","3,87,850.00","3,57,490.00","30,360.00","3,27,130.00",0,"2,62,840.00","52,810.00","2,10,030.00",65.04,"32,290.00",0,"17,57,110.00",10
0,TCS,MAR'17,"9,26,930.00","45,680.00","9,72,610.00","6,56,040.00","3,16,570.00","3,16,410.00",160,"3,16,250.00",0,"3,00,660.00","64,130.00","2,36,530.00",120.04,"1,970.40",0,"7,78,250.00",1
1,TCS,MAR'16,"8,58,638.00","37,402.00","8,96,040.00","5,89,146.00","3,06,894.00","3,06,758.00",135.8,"3,06,622.20",0,"2,91,166.00","62,339.40","2,28,827.00",116.13,"1,970.40",0,"5,86,698.00",1
2,TCS,MAR'15,"7,35,781.00","44,667.30","7,80,448.00","5,25,499.00","2,54,949.00","2,59,437.00",795.7,"2,58,641.30",0,"2,45,500.00","52,930.10","1,92,570.00",98.31,"1,958.70",0,"4,52,206.00",1
3,TCS,MAR'14,"6,46,729.00","31,147.10","6,77,876.00","4,31,392.00","2,46,484.00","2,46,250.00",234.1,"2,46,015.90",0,"2,35,445.00","50,695.50","1,84,749.00",94.32,"1,958.70",0,"4,38,560.00",1
4,TCS,MAR'13,"4,84,261.00","22,303.90","5,06,565.00","3,41,199.00","1,65,367.00","1,65,060.00",306.2,"1,64,753.80",0,"1,57,032.00","29,168.40","1,27,863.00",65.33,"1,957.20",0,"3,22,665.00",1
0,HDFCBANK,MAR'17,"6,93,060.00","1,22,965.00","8,16,024.00","1,97,033.00","2,57,324.00",0,"3,61,667.00","-3,61,667.00",0,"2,21,391.00","75,894.30","1,45,497.00",57.2,"5,125.10",0,"8,89,499.00",2
1,HDFCBANK,MAR'16,"6,02,214.00","1,07,517.00","7,09,732.00","1,69,797.00","2,13,636.00","1,86,379.00","3,26,299.00","-1,39,920.00",0,"1,86,379.00","63,417.10","1,22,962.00",48.8,"5,056.40",0,"7,21,721.00",2
2,HDFCBANK,MAR'15,"4,84,699.00","89,963.40","5,74,662.00","1,39,876.00","1,74,045.00",0,"2,60,742.00","-2,60,742.00",0,"1,53,287.00","51,128.00","1,02,159.00",42.1,"5,013.00",0,"6,15,081.00",2
3,HDFCBANK,MAR'14,"4,11,355.00","79,196.40","4,90,552.00","1,20,422.00","1,43,601.00","1,27,721.00","2,26,529.00","-98,808.00",0,"1,27,721.00","42,936.70","84,784.00",35.5,"4,798.10",0,"4,29,988.00",2
4,HDFCBANK,MAR'13,"3,50,649.00","68,526.20","4,19,175.00","1,12,361.00","1,14,276.00","97,506.20","1,92,538.00","-95,031.80",0,"97,506.20","30,243.40","67,262.80",28.5,"4,758.80",0,"3,57,383.00",2
0,ITC,MAR'17,"5,54,485.00","19,859.10","5,74,344.00","4,08,704.00","1,65,640.00","1,65,410.00",229.5,"1,65,180.50",0,"1,55,030.00","53,020.60","1,02,009.00",8.43,"12,147.40",0,"4,41,262.00",1
1,ITC,MAR'16,"3,68,374.00","18,037.40","3,86,411.00","2,25,992.00","1,60,420.00","1,59,928.00",491.3,"1,59,436.70",0,"1,49,584.00","51,136.80","98,447.10",12.26,"8,047.20",0,"3,20,719.00",1
2,ITC,MAR'15,"3,65,074.00","15,431.30","3,80,505.00","2,30,338.00","1,50,167.00","1,49,593.00",574.2,"1,49,018.80",0,"1,39,975.00","43,897.90","96,077.30",12.05,"8,015.50",0,"2,98,817.00",1
3,ITC,MAR'14,"3,32,386.00","11,071.40","3,43,457.00","2,07,838.00","1,35,620.00","1,35,590.00",29.5,"1,35,560.50",0,"1,26,591.00","38,739.00","87,852.10",11.09,"7,953.20",0,"2,54,143.00",1
4,ITC,MAR'13,"2,99,013.00","9,387.00","3,08,400.00","1,92,738.00","1,15,662.00","1,14,797.00",864.7,"1,13,932.30",0,"1,06,842.00","32,657.90","74,183.90",9.45,"7,901.80",0,"2,14,449.00",1
0,HDFC,MAR'17,"3,21,111.00","10,485.40","3,31,596.00","14,808.00","3,16,788.00","1,07,826.00","2,08,962.00","-1,01,136.00",0,"1,07,266.00","32,840.00","74,426.40",46.08,"3,177.30",0,"3,92,766.00",2
1,HDFC,MAR'16,"2,92,573.00","16,992.60","3,09,566.00","14,196.80","2,95,369.00","1,01,624.00","1,93,745.00","-92,121.00",0,"1,01,081.00","30,150.00","70,931.00",44.43,"3,159.70",0,"3,37,540.00",2
2,HDFC,MAR'15,"2,74,012.00",697,"2,74,709.00","8,418.50","2,66,290.00","86,539.20","1,79,751.00","-93,211.80",0,"86,241.40","26,340.00","59,901.40",38.13,"3,149.40",0,"3,06,550.00",2
3,HDFC,MAR'14,"2,41,430.00",546.6,"2,41,977.00","6,961.90","2,35,015.00","74,721.10","1,60,294.00","-85,572.90",0,"74,402.40","20,000.00","54,402.40",34.86,"3,121.00",0,"2,76,431.00",2
4,HDFC,MAR'13,"2,11,125.00",351.2,"2,11,476.00","6,603.00","2,04,873.00","65,964.30","1,38,909.00","-72,944.70",0,"65,728.40","17,245.00","48,483.40",31.35,"3,092.70",0,"2,46,907.00",2
0,SBIN,MAR'17,"17,55,180.00","3,54,609.00","21,09,790.00","4,64,728.00","5,08,479.00",0,"11,36,580.00","-11,36,580.00",0,"1,48,552.00","43,710.60","1,04,841.00",13.43,"7,973.50",0,"15,59,030.00",1
1,SBIN,MAR'16,"16,36,850.00","2,81,584.00","19,18,440.00","4,17,824.00","4,32,578.00","1,37,741.00","10,68,030.00","-9,30,289.00",0,"1,37,741.00","38,234.10","99,506.50",12.98,"7,762.80",0,"14,34,980.00",1
2,SBIN,MAR'15,"15,23,970.00","2,25,759.00","17,49,730.00","3,86,776.00","3,89,135.00",0,"9,73,818.00","-9,73,818.00",0,"1,93,140.00","62,123.90","1,31,016.00",17.55,"7,465.70",0,"12,76,920.00",1
3,SBIN,MAR'14,"13,63,510.00","1,85,529.00","15,49,040.00","3,57,258.00","3,21,092.00","1,61,739.00","8,70,686.00","-7,08,947.00",0,"1,61,739.00","52,827.20","1,08,912.00",156.76,"7,465.70",0,"11,75,360.00",10
4,SBIN,MAR'13,"11,96,570.00","1,60,348.00","13,56,920.00","2,92,844.00","3,10,817.00","1,99,509.00","7,53,258.00","-5,53,749.00",0,"1,99,509.00","58,459.10","1,41,050.00",210.06,"6,840.30",0,"9,81,996.00",10
0,HINDUNILVR,MAR'17,"3,44,870.00","5,260.00","3,50,130.00","2,84,400.00","65,730.00","67,920.00",220,"67,700.00",0,"63,960.00","19,060.00","44,900.00",20.75,"2,160.00",0,0,1
1,HINDUNILVR,MAR'16,"3,19,872.00","5,006.30","3,24,878.00","2,62,572.00","62,305.50","61,913.40",1.8,"61,911.60",0,"58,705.90","17,882.20","40,823.70",18.87,"2,163.90",0,"34,702.30",1
2,HINDUNILVR,MAR'15,"3,08,056.00","6,183.90","3,14,240.00","2,55,974.00","58,266.30","64,741.10",168.2,"64,572.90",0,"61,874.20","18,721.60","43,152.60",19.95,"2,163.50",0,"35,077.60",1
3,HINDUNILVR,MAR'14,"2,80,191.00","6,210.30","2,86,402.00","2,35,439.00","50,962.90","52,889.40",360.3,"52,529.10",0,"50,283.90","11,609.00","38,674.90",17.88,"2,162.70",0,"30,601.10",1
4,HINDUNILVR,MAR'13,"2,58,102.00","6,069.00","2,64,171.00","2,18,065.00","46,106.50","51,939.00",251.5,"51,687.50",0,"49,578.80","11,612.10","37,966.70",17.56,"2,162.50",0,"24,571.00",1
0,MARUTI,MAR'17,"7,72,662.00","22,798.00","7,95,460.00","6,69,132.00","1,26,328.00","1,25,434.00",894,"1,24,540.00",0,"99,413.00","26,036.00","73,377.00",242.91,"1,510.00",0,0,5
1,MARUTI,MAR'16,"5,77,463.00","4,619.00","5,82,082.00","4,87,678.00","94,404.00","93,589.00",815,"92,774.00",0,"65,350.00","19,636.00","45,714.00",151.33,"1,510.00",0,"2,35,532.00",5
2,MARUTI,MAR'15,"4,99,706.00","8,315.80","5,08,022.00","4,32,577.00","75,445.50","73,385.30","2,060.20","71,325.10",0,"48,682.00","11,569.80","37,112.20",122.85,"1,510.40",0,"2,08,270.00",5
3,MARUTI,MAR'14,"4,37,006.00","8,229.00","4,45,235.00","3,86,047.00","59,188.10","57,429.60","1,758.50","55,671.10",0,"36,585.60","8,755.10","27,830.50",92.13,"1,510.40",0,"1,84,279.00",5
4,MARUTI,MAR'13,"4,35,879.00","8,123.70","4,44,003.00","3,93,582.00","50,420.50","48,522.30","1,898.20","46,624.10",0,"29,910.60","5,989.30","23,921.30",79.19,"1,510.40",0,"1,50,429.00",5
0,INFY,MAR'17,"5,92,890.00","30,620.00","6,23,510.00","4,20,820.00","2,02,690.00","2,02,690.00",0,"2,02,690.00",0,"1,89,380.00","51,200.00","1,38,180.00",60.16,"11,480.00",0,"6,68,690.00",5
1,INFY,MAR'16,"5,39,830.00","30,090.00","5,69,920.00","3,82,200.00","1,87,720.00","2,18,080.00",0,"2,18,080.00",0,"2,06,930.00","49,070.00","1,57,860.00",68.73,"11,480.00",0,"5,60,090.00",5
2,INFY,MAR'15,"4,73,000.00","33,370.00","5,06,370.00","3,33,380.00","1,72,990.00","1,77,110.00",0,"1,77,110.00",0,"1,67,980.00","46,340.00","1,21,640.00",105.91,"5,740.00",0,"4,74,940.00",5
3,INFY,MAR'14,"4,43,410.00","25,760.00","4,69,170.00","3,18,140.00","1,51,030.00","1,51,030.00",0,"1,51,030.00",0,"1,40,020.00","38,080.00","1,01,940.00",178.39,"2,860.00",0,"3,57,720.00",5
4,INFY,MAR'13,"3,67,650.00","22,980.00","3,90,630.00","2,57,500.00","1,33,130.00","1,33,130.00",0,"1,33,130.00",0,"1,23,570.00","32,410.00","91,160.00",157.55,"2,870.00",0,"2,94,700.00",5
0,KOTAKBANK,MAR'17,"1,76,989.00","34,771.60","2,11,761.00","56,185.00","59,848.10",0,"95,727.80","-95,727.80",0,"51,480.70","17,365.70","34,115.00",18.57,"9,204.50",0,"2,66,956.00",5
1,KOTAKBANK,MAR'16,"1,63,842.00","26,122.30","1,89,964.00","54,715.20","40,410.90",0,"94,838.10","-94,838.10",0,"31,237.20","10,339.40","20,897.80",11.42,"9,171.90",0,"2,30,419.00",5
2,KOTAKBANK,MAR'15,"97,198.70","20,284.50","1,17,483.00","32,547.30","29,974.60",0,"54,961.30","-54,961.30",0,"28,329.60","9,669.80","18,659.80",24.2,"3,861.80",0,"1,37,549.00",5
3,KOTAKBANK,MAR'14,"87,671.20","13,997.10","1,01,668.00","25,426.10","25,771.50","22,724.50","50,470.70","-27,746.20",0,"22,724.50","7,699.30","15,025.20",19.62,"3,851.60",0,"1,18,899.00",5
4,KOTAKBANK,MAR'13,"80,424.90","11,606.70","92,031.60","22,097.30","21,566.10","19,720.60","48,368.20","-28,647.60",0,"19,720.60","6,113.40","13,607.20",18.31,"3,733.10",0,"90,736.50",5
0,ICICIBANK,MAR'17,"5,41,563.00","1,95,045.00","7,36,608.00","1,47,551.00","2,64,867.00",0,"3,24,190.00","-3,24,190.00",0,"1,12,786.00","14,775.20","98,010.90",16.84,"11,651.10",0,"9,57,376.00",2
1,ICICIBANK,MAR'16,"5,27,394.00","1,53,230.00","6,80,625.00","1,26,836.00","2,38,635.00","1,21,957.00","3,15,154.00","-1,93,197.00",0,"1,21,957.00","24,694.30","97,262.90",16.75,"11,631.70",0,"8,57,482.00",2
2,ICICIBANK,MAR'15,"4,90,911.00","1,21,761.00","6,12,673.00","1,14,958.00","1,97,199.00",0,"3,00,515.00","-3,00,515.00",0,"1,58,199.00","46,445.70","1,11,754.00",19.32,"11,596.60",0,"7,92,623.00",2
3,ICICIBANK,MAR'14,"4,41,782.00","1,04,279.00","5,46,060.00","1,03,089.00","1,65,946.00","1,39,682.00","2,77,026.00","-1,37,344.00",0,"1,39,682.00","41,576.90","98,104.80",84.99,"11,550.40",0,"7,20,517.00",10
4,ICICIBANK,MAR'13,"4,00,756.00","83,457.00","4,84,213.00","90,128.80","1,31,992.00","1,13,967.00","2,62,092.00","-1,48,125.00",0,"1,13,967.00","30,712.20","83,254.70",72.2,"11,536.40",0,"6,55,478.00",10
0,IOC,MAR'17,"44,53,730.00","42,085.80","44,95,820.00","41,35,920.00","3,59,896.00","3,25,442.00","34,454.30","2,90,987.70",0,"2,63,212.00","72,148.40","1,91,064.00",40.31,"48,559.00",0,"9,49,894.00",10
1,IOC,MAR'16,"35,06,030.00","22,463.20","35,28,490.00","33,05,210.00","2,23,281.00","2,06,923.00","30,001.00","1,76,922.00",0,"1,58,395.00","54,404.70","1,03,990.00",42.83,"24,279.50",0,"7,15,208.00",10
2,IOC,MAR'15,"43,75,260.00","41,440.50","44,16,700.00","42,73,790.00","1,42,911.00","1,25,240.00","34,352.70","90,887.30",0,"79,952.90","27,222.60","52,730.30",21.72,"24,279.50",0,"6,55,420.00",10
3,IOC,MAR'14,"47,32,100.00","34,172.90","47,66,270.00","45,76,040.00","1,90,232.00","1,56,856.00","50,844.20","1,06,011.80",0,"99,255.10","29,064.20","70,190.90",28.91,"24,279.50",0,"6,35,641.00",10
4,IOC,MAR'13,"44,70,960.00","35,147.90","45,06,110.00","43,33,530.00","1,72,579.00","1,08,488.00","64,091.50","44,396.50",0,"56,478.00","6,426.30","50,051.70",20.61,"24,279.50",0,"5,86,964.00",10
0,BHARTIARTL,MAR'17,"6,22,763.00","1,843.00","6,24,606.00","3,85,834.00","2,38,772.00","36,939.00","29,125.00","7,814.00",0,"-85,095.00","14,161.00","-99,256.00",-24.84,"19,987.00",0,"9,92,086.00",5
1,BHARTIARTL,MAR'16,"6,03,002.00","14,856.00","6,17,858.00","3,79,640.00","2,38,218.00","1,95,829.00","35,590.00","1,60,239.00",0,"1,00,398.00","24,933.00","75,465.00",18.88,"19,987.00",0,"8,24,460.00",5
2,BHARTIARTL,MAR'15,"5,54,964.00","51,930.00","6,06,894.00","3,60,653.00","2,46,241.00","2,32,150.00","14,091.00","2,18,059.00",0,"1,56,553.00","24,548.00","1,32,005.00",33.02,"19,987.00",0,"7,62,721.00",5
3,BHARTIARTL,MAR'14,"4,99,185.00","8,534.00","5,07,719.00","3,36,197.00","1,71,522.00","1,56,087.00","13,364.00","1,42,723.00",0,"83,774.00","17,772.00","66,002.00",16.51,"19,987.00",0,"6,47,272.00",5
4,BHARTIARTL,MAR'13,"4,53,509.00","14,631.00","4,68,140.00","3,18,802.00","1,49,338.00","1,32,815.00","16,523.00","1,16,292.00",0,"64,548.00","13,585.00","50,963.00",13.42,"18,988.00",0,"5,22,453.00",5
0,COALINDIA,MAR'17,"3,111.80","1,50,048.00","1,53,159.00","9,229.70","1,43,930.00","1,45,292.00","-1,362.30","1,46,654.30",0,"1,45,117.00",111.4,"1,45,005.00",23.13,"62,074.10",0,"77,123.90",10
1,COALINDIA,MAR'16,"1,655.30","1,71,271.00","1,72,926.00","6,538.60","1,66,388.00","1,65,287.00","1,101.10","1,64,185.90",0,"1,65,135.00","1,700.00","1,63,435.00",25.87,"63,163.60",0,0,10
2,COALINDIA,MAR'15,"3,871.20","1,41,434.00","1,45,305.00","6,268.60","1,39,037.00","1,36,591.00","2,438.20","1,34,152.80",0,"1,36,519.00","2,685.00","1,33,834.00",21.19,"63,163.60",0,0,10
3,COALINDIA,MAR'14,"3,142.50","1,60,898.00","1,64,041.00","7,186.80","1,56,854.00","1,54,269.00","2,585.40","1,51,683.60",0,"1,54,205.00","4,119.30","1,50,085.00",23.76,"63,163.60",0,"1,01,289.00",10
4,COALINDIA,MAR'13,"3,522.50","1,10,880.00","1,14,403.00","7,216.20","1,07,186.00","1,03,430.00","3,756.50","99,673.50",0,"1,03,380.00","5,437.10","97,943.20",15.51,"63,163.60",0,0,10
0,NTPC,MAR'17,"7,82,734.00","10,688.60","7,93,423.00","5,66,534.00","2,26,889.00","1,83,087.00","35,972.00","1,47,115.00",0,"1,23,879.00","30,026.40","93,852.60",11.38,"82,454.60",0,"8,79,858.00",10
1,NTPC,MAR'16,"7,05,068.00","11,892.70","7,16,961.00","5,29,938.00","1,87,023.00","1,54,840.00","32,303.60","1,22,536.40",0,"1,00,587.00","-1,842.40","1,02,429.00",12.42,"82,454.60",0,"8,05,365.00",10
2,NTPC,MAR'15,"7,32,460.00","21,163.20","7,53,624.00","5,71,604.00","1,82,019.00","1,54,583.00","27,436.20","1,27,146.80",0,"1,05,466.00","2,557.90","1,02,909.00",12.48,"82,454.60",0,"7,34,119.00",10
3,NTPC,MAR'14,"7,20,189.00","26,888.90","7,47,078.00","5,42,544.00","2,04,534.00","1,80,468.00","24,065.90","1,56,402.10",0,"1,39,046.00","29,299.10","1,09,747.00",13.31,"82,454.60",0,"7,75,699.00",10
4,NTPC,MAR'13,"6,56,739.00","31,015.80","6,87,755.00","4,85,599.00","2,02,156.00","1,99,754.00","19,243.60","1,80,510.40",0,"1,65,786.00","39,592.40","1,26,194.00",15.3,"82,454.60",0,"7,21,420.00",10
0,WIPRO,MAR'17,"4,60,478.00","25,700.00","4,86,178.00","3,64,909.00","1,21,269.00","1,17,348.00","3,921.00","1,13,427.00",0,"1,06,871.00","25,254.00","81,617.00",33.61,"4,861.00",0,"4,62,195.00",2
1,WIPRO,MAR'16,"4,47,397.00","27,209.00","4,74,606.00","3,55,819.00","1,18,787.00","1,13,509.00","5,278.00","1,08,231.00",0,"1,04,821.00","23,831.00","80,990.00",32.97,"4,941.00",0,"4,07,085.00",2
2,WIPRO,MAR'15,"4,12,872.00","24,216.00","4,37,088.00","3,20,105.00","1,16,983.00","1,13,354.00","3,629.00","1,09,725.00",0,"1,05,570.00","23,639.00","81,931.00",33.38,"4,937.00",0,0,2
3,WIPRO,MAR'14,"3,87,927.00","15,757.00","4,03,684.00","2,96,488.00","1,07,196.00","1,03,449.00","3,747.00","99,702.00",0,"96,082.00","22,208.00","73,874.00",30.09,"4,932.00",0,0,2
4,WIPRO,MAR'13,"3,32,420.00","13,098.00","3,45,518.00","2,62,930.00","82,588.00","79,064.00","3,524.00","75,540.00",0,"72,051.00","15,549.00","56,502.00",23.03,"4,926.00",0,0,2
0,HCLTECH,MAR'17,"1,93,183.00","9,553.30","2,02,736.00","1,14,626.00","88,109.90","87,549.60",560.3,"86,989.30",0,"82,760.70","14,033.80","68,726.90",48.18,"2,853.60",0,0,2
1,HCLTECH,MAR'16,"1,34,334.00","9,687.60","1,44,021.00","83,095.30","60,925.80","60,467.60",458.2,"60,009.40",0,"57,676.10","10,339.30","47,336.80",33.62,"2,820.80",0,"2,12,268.00",2
2,HCLTECH,JUN'15,"1,71,534.00","11,994.90","1,83,529.00","1,02,938.00","80,590.90","79,984.50",606.4,"79,378.10",0,"76,985.30","13,525.90","63,459.50",45.17,"2,812.00",0,"1,91,245.00",2
3,HCLTECH,JUN'14,"1,64,974.00","6,591.20","1,71,565.00","91,864.80","79,700.10","78,883.60",816.5,"78,067.10",0,"73,976.60","14,130.40","59,846.20",85.49,"1,400.00",0,"1,56,056.00",2
4,HCLTECH,JUN'13,"1,25,178.00","3,788.40","1,28,967.00","79,270.90","49,695.70","49,866.50",764.6,"49,101.90",0,"45,447.40","8,400.20","37,047.20",53.16,"1,393.70",0,"1,00,934.00",2
0,TATAMOTORS,MAR'17,"4,91,004.00","12,312.90","5,03,317.00","4,78,542.00","24,774.80","5,486.20","15,901.50","-10,415.30",0,"-24,207.70",592.2,"-24,799.90",-7.3,"6,792.20",0,"2,01,299.00",2
1,TATAMOTORS,MAR'16,"4,23,698.00","21,329.20","4,45,027.00","4,00,543.00","44,484.60","26,041.40","14,811.10","11,230.30",0,"1,503.90",-838.4,"2,342.30",0.68,"6,791.80",0,"2,16,660.00",2
2,TATAMOTORS,MAR'15,"3,62,947.00","18,814.10","3,81,762.00","3,75,322.00","6,439.30","-13,715.00","16,116.80","-29,831.80",0,"-39,747.20","7,642.30","-47,389.50",-14.72,"6,437.80",0,"1,41,959.00",2
3,TATAMOTORS,MAR'14,"3,42,881.00","38,330.30","3,81,211.00","3,51,993.00","29,218.80","10,445.00","13,375.20","-2,930.20",0,"-10,258.00","-13,603.20","3,345.20",1.03,"6,437.80",0,"1,85,100.00",2
4,TATAMOTORS,MAR'13,"4,47,657.00","20,882.00","4,68,539.00","4,30,477.00","38,061.80","19,925.50","13,877.60","6,047.90",0,"1,749.30","-1,268.80","3,018.10",0.93,"6,380.70",0,"1,84,735.00",2
